UserID,RestaurantID,food
3,1,-0.1675619948
5,1,-0.4940387165
10,1,-0.4085928197
28,1,-0.2256894584
30,1,-0.2425848056
31,1,-0.5044850839
32,1,-0.2501944486
34,1,-0.4243948127
37,1,-0.4501310622
42,1,-0.2725509017
44,1,-0.2384216554
51,1,-0.2018056061
53,1,-0.3678568019
59,1,-0.4507285049
61,1,-0.2531665607
66,1,-0.3987962623
67,1,-0.0812205303
68,1,-0.2358743041
74,1,-0.153697673
84,1,-0.2470193819
85,1,-0.3320148846
86,1,-0.2779054588
87,1,-0.2102398218
93,1,-0.3512245025
95,1,-0.3294127341
106,1,-0.3553753129
112,1,-0.3018043351
120,1,-0.339267001
122,1,-0.4349247432
135,1,-0.4877665837
136,1,-0.2493922042
137,1,-0.3519708547
142,1,-0.4396647687
143,1,-0.4156051155
145,1,-0.22680793
151,1,-0.4696655624
152,1,-0.439658325
155,1,-0.2467191077
159,1,-0.3982959907
166,1,-0.3278441709
177,1,-0.2808274809
182,1,-0.3639561137
185,1,-0.4361175274
188,1,0.0189800233
192,1,-0.2356632973
198,1,-0.43038488
203,1,-0.2175721582
204,1,-0.3993985407
211,1,-0.3705725954
212,1,-0.364841002
213,1,-0.339140337
214,1,-0.1570055867
221,1,-0.3787434946
222,1,-0.3601958296
227,1,-0.1531832672
228,1,-0.1807059737
230,1,-0.4259146017
231,1,-0.2650178022
241,1,-0.2779511202
243,1,-0.3131520328
244,1,-0.1578761957
245,1,-0.3266354508
258,1,-0.329839853
266,1,-0.2893713922
268,1,-0.3490213903
272,1,-0.1767761671
279,1,-0.2248232809
283,1,-0.2752810912
284,1,-0.4187422659
285,1,-0.0352534497
293,1,-0.41049002
294,1,-0.3081112167
299,1,-0.3871448091
304,1,-0.3876926449
306,1,-0.1187243517
311,1,-0.2843019347
318,1,-0.2895357195
322,1,-0.327330222
326,1,-0.4897164361
328,1,-0.3876205263
331,1,-0.2762008475
333,1,-0.4050046865
337,1,-0.2350846564
343,1,-0.3308752235
344,1,-0.288168887
349,1,-0.3301993051
358,1,-0.2369510904
373,1,-0.4065457937
374,1,-0.4351782771
375,1,-0.3210051346
377,1,-0.4172103805
382,1,-0.5296805488
386,1,-0.4354760974
392,1,-0.3789766414
396,1,-0.3557820014
397,1,-0.3317019263
403,1,-0.3308421271
406,1,-0.4201379804
407,1,-0.0821256325
414,1,-0.4214536319
417,1,-0.3491010002
419,1,-0.1431081864
421,1,-0.0912836877
427,1,-0.2894623299
430,1,-0.3366451672
439,1,-0.3763691126
440,1,-0.4571629573
443,1,-0.3158721157
448,1,-0.2150091656
453,1,-0.2255357409
454,1,-0.3516942995
467,1,-0.0495095085
468,1,-0.2439251218
475,1,-0.4289933736
478,1,-0.2748941657
479,1,-0.1041687893
480,1,-0.2134478273
486,1,-0.1970735185
489,1,-0.4055660313
512,1,-0.4190686445
517,1,-0.3083094535
520,1,-0.3193750468
525,1,-0.2280727136
526,1,-0.4213994831
527,1,-0.3890693536
530,1,-0.2839535369
531,1,-0.2241594821
534,1,-0.2902527234
536,1,-0.308873015
537,1,-0.4167587388
541,1,-0.3492309296
544,1,-0.1943751883
548,1,-0.2939918797
549,1,-0.1893424016
550,1,-0.3103035607
552,1,-0.2741327976
553,1,-0.1890279902
563,1,-0.318131141
564,1,-0.0654932985
570,1,-0.2151778252
572,1,-0.4755559533
573,1,-0.2662394122
583,1,-0.3254556335
585,1,-0.3202704107
592,1,-0.2631391
593,1,-0.3634025245
602,1,-0.3956719256
