"","food","menu","service","UserID","RestaurantID"
"1",-0.167561994784124,-0.343962814852518,-0.269890746855699,3,1
"2",-0.494038716469923,-0.164986905389114,-0.417245675854771,5,1
"3",-0.408592819679378,-0.126755612992803,-0.328071010082322,10,1
"4",-0.225689458354883,-0.229960153436455,-0.241929933153328,28,1
"5",-0.24258480558782,-0.0573457807179176,-0.282178154262069,30,1
"6",-0.504485083931131,0.075174900165526,-0.141067089125168,31,1
"7",-0.250194448574676,-0.252847854621987,-0.382734687422148,32,1
"8",-0.424394812656466,-0.274624629997331,-0.284331213371948,34,1
"9",-0.450131062190122,-0.351370898318463,-0.338064024624869,37,1
"10",-0.272550901747594,-0.228244574106005,-0.176268950380765,42,1
"11",-0.238421655405449,-0.285855476153308,-0.235303735017905,44,1
"12",-0.201805606068264,-0.0950520809555441,-0.327331940870996,51,1
"13",-0.367856801858328,-0.158925985782259,-0.360962675178944,53,1
"14",-0.450728504930273,-0.253763431345601,-0.145810656053521,59,1
"15",-0.253166560659165,-0.106625650215754,-0.321433357275693,61,1
"16",-0.398796262274643,-0.500841842279346,-0.224469569420054,66,1
"17",-0.081220530318901,-0.189661788287009,-0.249150596561302,67,1
"18",-0.235874304115221,-0.19120496058437,-0.231778191309185,68,1
"19",-0.153697673049971,-0.0644397870781121,0.00279954443438724,74,1
"20",-0.247019381851754,-0.133010966379925,-0.355510904464115,84,1
"21",-0.332014884614042,-0.129436978329052,-0.290691558028595,85,1
"22",-0.277905458780374,-0.278158088116008,-0.292111783479621,86,1
"23",-0.210239821815836,-0.0739525510777444,-0.351645951502264,87,1
"24",-0.351224502482618,-0.178919315424631,-0.27528436516226,93,1
"25",-0.329412734128344,-0.239901032395582,-0.270703166070977,95,1
"26",-0.355375312918778,-0.339032502579789,-0.277397060047767,106,1
"27",-0.301804335134825,-0.262510414893788,-0.361421171618717,112,1
"28",-0.339267001041044,-0.143537961596534,-0.263681996470729,120,1
"29",-0.434924743232707,-0.418242453238064,-0.354061530894294,122,1
"30",-0.4877665837048,-0.250570125220321,-0.262871244179652,135,1
"31",-0.249392204185691,-0.22690625152318,-0.156316486615075,136,1
"32",-0.35197085468878,-0.331088736882071,-0.1623984320253,137,1
"33",-0.439664768667303,-0.399095649111214,-0.269545426626207,142,1
"34",-0.415605115464771,-0.1101748408032,-0.168015705417221,143,1
"35",-0.226807929982101,-0.20101392386264,-0.282688176513743,145,1
"36",-0.469665562396847,-0.274922378803873,-0.290057302869193,151,1
"37",-0.43965832498246,-0.145033702193183,-0.251784905383868,152,1
"38",-0.246719107692147,-0.093125165925618,-0.266086011453603,155,1
"39",-0.398295990681562,-0.182019511326804,-0.0318167411633256,159,1
"40",-0.327844170884789,-0.17778526090229,-0.301975646447376,166,1
"41",-0.280827480868257,-0.325948996866988,-0.115342458723221,177,1
"42",-0.363956113680443,-0.156147198879136,-0.260098274395092,182,1
"43",-0.43611752739228,-0.232357291344887,-0.257151114392824,185,1
"44",0.0189800232590721,0.0380551028010116,-0.142500277880859,188,1
"45",-0.235663297329036,0.280951136478923,-0.328271638667873,192,1
"46",-0.430384879989193,-0.158612271662118,-0.153937956799713,198,1
"47",-0.217572158188135,-0.207056923157821,0.0049507353116185,203,1
"48",-0.399398540727161,-0.311935646744539,-0.191888222692448,204,1
"49",-0.370572595388366,-0.0663369622692633,-0.214517525353661,211,1
"50",-0.364841002047576,-0.156387381564044,-0.0925904203980313,212,1
"51",-0.339140336997406,-0.0406360843178457,-0.197080507610076,213,1
"52",-0.157005586695541,-0.180101511942582,-0.328514276308789,214,1
"53",-0.378743494572657,-0.286178426867613,-0.366202887476879,221,1
"54",-0.360195829639263,-0.036815767562351,-0.253920820736684,222,1
"55",-0.153183267183722,-0.323526664703243,-0.215153807769178,227,1
"56",-0.180705973726567,0.0161765016774766,-0.170588529196876,228,1
"57",-0.425914601675851,-0.0734163413985985,-0.145416576864081,230,1
"58",-0.26501780217092,-0.178049970512538,-0.2922763474315,231,1
"59",-0.277951120240506,-0.24835213031624,-0.273148676650964,241,1
"60",-0.313152032845211,-0.23665255067248,-0.159571929944057,243,1
"61",-0.15787619572172,-0.182480232572257,-0.0553469343153889,244,1
"62",-0.326635450751037,-0.204877698569228,-0.307279969235051,245,1
"63",-0.32983985300808,-0.135358625698788,-0.241914180839025,258,1
"64",-0.289371392206295,-0.341285964113369,-0.382055677561465,266,1
"65",-0.349021390251783,-0.174226613991973,-0.37474303941777,268,1
"66",-0.176776167101516,-0.0126728129952214,-0.30954603403159,272,1
"67",-0.224823280936745,-0.181829013857418,-0.385842074522635,279,1
"68",-0.275281091195188,-0.205810288291516,-0.22516621858373,283,1
"69",-0.41874226587633,-0.273550796724202,-0.189416990498234,284,1
"70",-0.0352534497272524,-0.219889522424157,-0.426480478050247,285,1
"71",-0.410490020004506,-0.148749110946851,-0.23162470051603,293,1
"72",-0.308111216670621,-0.259245651711029,-0.262118143437492,294,1
"73",-0.387144809091995,-0.172764750401431,-0.385481199859897,299,1
"74",-0.387692644941734,-0.103539290623975,-0.165474088596717,304,1
"75",-0.118724351657021,-0.307122366233332,-0.00612107876228648,306,1
"76",-0.284301934666697,-0.0604121265163516,-0.140521800504458,311,1
"77",-0.289535719506828,-0.243184734260187,-0.251546123628177,318,1
"78",-0.327330221977351,-0.166897212319597,-0.26804005731133,322,1
"79",-0.48971643610524,-0.2823021670403,-0.437266681042647,326,1
"80",-0.387620526327567,-0.263682376869191,-0.393054508593761,328,1
"81",-0.276200847526378,-0.155219723458861,-0.331658505971375,331,1
"82",-0.405004686521711,-0.106569571527367,-0.276083507769671,333,1
"83",-0.235084656431926,-0.197948414284809,-0.172402447545671,337,1
"84",-0.330875223470556,-0.229704081172122,-0.240302035477008,343,1
"85",-0.288168887024795,-0.137834600541946,-0.37439942577653,344,1
"86",-0.330199305128132,-0.149353696523598,-0.176934883303086,349,1
"87",-0.236951090383149,-0.262768784703935,-0.159348333063503,358,1
"88",-0.406545793665541,-0.334581096252061,-0.169715014604858,373,1
"89",-0.435178277122037,-0.15603500524464,-0.233303779649579,374,1
"90",-0.321005134612879,-0.334561189558096,-0.211175229820996,375,1
"91",-0.417210380488837,-0.196024782855871,-0.20636867745378,377,1
"92",-0.529680548817419,-0.246626106010555,-0.0835040054073304,382,1
"93",-0.43547609737309,-0.10340060724204,-0.188469195267315,386,1
"94",-0.378976641405849,-0.362067728818394,-0.245460695288799,392,1
"95",-0.355782001377322,-0.12397255727402,-0.18519507700429,396,1
"96",-0.331701926281291,-0.166244108820812,-0.370598806707392,397,1
"97",-0.330842127127544,-0.263621471093531,-0.17345898158299,403,1
"98",-0.420137980392647,-0.236309968701511,-0.303539315698379,406,1
"99",-0.0821256324621501,-0.235412339909457,-0.352573988584218,407,1
"100",-0.421453631904744,-0.0968344334593676,-0.111946111407612,414,1
"101",-0.349101000158489,-0.13140474462359,-0.228978916090821,417,1
"102",-0.143108186378866,-0.194664788078764,-0.312434571770328,419,1
